date,time,username,tweet,link,likes,retweets,replies,mentions,hashtags
2018-10-18,14:31:10,MichalakJerzy,@Przemek_Filar @p_romanowski Poza kampanią też będziemy intensywnie rozmawiać z ludźmi!,https://twitter.com/MichalakJerzy/status/1052899891515658240,2,0,0,"p_romanowski,Przemek_Filar",
2018-10-18,12:00:25,MichalakJerzy,"Wieczorem będziemy rozmawiać tam, gdzie bije tętno wielkiego miasta. W knajpkach na Nadodrzu, ale i odwiedzimy ulubione przez młodych wrocławian i studentów okolice ulicy św. Antoniego #BezpartyjnyRuchObywatelski #Listanr13 #Michalak2018 pic.twitter.com/S007uyMMio",https://twitter.com/MichalakJerzy/status/1052861954870730752,6,1,1,,"#BezpartyjnyRuchObywatelski,#Listanr13,#Michalak2018"
2018-10-18,11:58:49,MichalakJerzy,"Od rana praca w terenie, czyli kawa dla śpieszących do pracy, briefingi, ostatnie merytoryczne propozycje dla mieszkańców naszego kochanego Wrocławia  #BezpartyjnyRuchObywatelski #Listanr13 #Michalak2018",https://twitter.com/MichalakJerzy/status/1052861549331791872,7,1,1,,"#BezpartyjnyRuchObywatelski,#Listanr13,#Michalak2018"
2018-10-18,11:58:20,MichalakJerzy,"W ostatni dzień kampanii robimy pierwszy we Wrocławiu 24h dzień kampanijny. Startujemy dziś po 24.00. Wraz z kandydatami #BezpartyjnyRuchObywatelski #Listanr13 będziemy rozmawiać z tymi, którzy pracują nocą: taksówkarzami, piekarzami, ratownikami medycznymi, #Michalak2018",https://twitter.com/MichalakJerzy/status/1052861429613768707,14,6,2,,"#BezpartyjnyRuchObywatelski,#Listanr13,#Michalak2018"
2018-10-17,14:30:10,MichalakJerzy,"Nie dajcie sobie wmówić, że te wybory to walka tylko dwóch największych partii, wybór mniejszego zła. Wybierzcie większe dobro : ludzi zaangażowanych, niezależnych, działaczy, aktywistów, Waszych sąsiadów, którym się chce #Michalak2018 #Listanr13 #BezpartyjnyRuchObywatelski pic.twitter.com/ADUPsAMfuh",https://twitter.com/MichalakJerzy/status/1052537251798900736,25,14,1,,"#Michalak2018,#Listanr13,#BezpartyjnyRuchObywatelski"
2018-10-17,13:21:41,MichalakJerzy,"Placówka powstanie na Złotnikach, naprzeciwko Szpitala Marciniaka. Będzie kosztowała ok. 560 mln zł. Pomieści 600 łóżek, 12 sal na bloku operacyjnym.  Będzie się w nim przeprowadzać ok. 10 tys. zabiegów. pic.twitter.com/TQBlVJg6U0",https://twitter.com/MichalakJerzy/status/1052520015822508032,9,2,1,,
2018-10-17,13:19:37,MichalakJerzy,"Wielu kandydatów mówi w kampanii o budowie nowego szpitala onkologicznego. Ze spokojem mogą powiedzieć o tym wszyscy. Placówka powstanie w kolejnej kadencji. Właśnie ogłosiliśmy przetarg w trybie ""zaprojektuj- wybuduj - sfinansuj"" na budowę nowego centralnego ośrodka w regionie. pic.twitter.com/bhX0Ul5Y9x",https://twitter.com/MichalakJerzy/status/1052519497695936512,14,4,0,,
2018-10-16,23:41:55,MichalakJerzy,"@peters86pl @stankom41 Dziękuję @TomOwczarek71 . Chętnie korzystam ze wsparcia osób, które w danej dzidzinie wiedzą więcej ode mnie. Tak się tworzy team ☺",https://twitter.com/MichalakJerzy/status/1052313714668523522,3,0,1,"stankom41,peters86pl,TomOwczarek71",
2018-10-16,20:14:13,MichalakJerzy,"Nie dajcie sobie wmówić, jak głosować. Wybierzcie niezależnych kandydatów, którzy kochają Wrocław. Chcą, nie muszą, znają to miasto i chcą je zmienić. Dziękuję wszystkim kontrkandydatom i @wyborczawroclaw. Pojdźmy wszyscy w niedzielę do wyborów!#Michalak2018 #debataWroclaw pic.twitter.com/v4EfKD7IcL",https://twitter.com/MichalakJerzy/status/1052261446002888704,24,15,3,wyborczawroclaw,"#Michalak2018,#debataWroclaw"
2018-10-16,18:17:19,MichalakJerzy,Jako radni Bezpartyjnego Ruchu Obywatelskiego zagłosujemy za in vitro i za 24h gabinetami ginekologicznymi #Michalak2018 #debataWroclaw,https://twitter.com/MichalakJerzy/status/1052232025342504960,12,8,0,,"#Michalak2018,#debataWroclaw"
2018-10-16,18:03:08,MichalakJerzy,"Mnie, jako wnuka Powstańca Warszawskiego, szlag trafia kiedy widzę to co na faszystowskich marszach wyprawia się we Wrocławiu. Trzeba mieć odwagę, żeby egzekwować prawo. I ja deklaruję, że nie będzie na to tolerancji #Michalak2018 #debataWroclaw",https://twitter.com/MichalakJerzy/status/1052228457646551043,27,16,6,,"#Michalak2018,#debataWroclaw"
2018-10-16,17:30:31,MichalakJerzy,Bez inwentaryzacji źródeł ciepła nie ruszymy z wymianą pieców i walką ze smogiem. Trzeba to jasno powiedzieć. Dzisiaj nie wiemy nawet dokładnie ile mamy pieców nadających się do wymiany #Michalak2018 #debataWroclaw,https://twitter.com/MichalakJerzy/status/1052220249188261888,18,9,0,,"#Michalak2018,#debataWroclaw"
2018-10-16,17:16:46,MichalakJerzy,"Obecnej ekipie gratuluję konsekwencji. 8 lat temu obiecywano linię tramwajową na Jagodno, 4 lata temu obiecywano linię tramwajową na Jagodno, teraz też obiecuje się linię tramwajową na Jagodno #Michalak2018",https://twitter.com/MichalakJerzy/status/1052216788375744512,32,11,3,,#Michalak2018
2018-10-16,17:14:38,MichalakJerzy,"Politykę tramwajową magistratu najlepiej opisuje pusta kartka. W tej kadencji nie powstała żadna nowa linia tramwajowa, ubyło 600 m linii. Trzeba to zmienić #Michalak2018",https://twitter.com/MichalakJerzy/status/1052216251806699521,21,9,2,,#Michalak2018
2018-10-16,14:53:58,MichalakJerzy,"Ze świetną informacją płyniemy także do Oleśnicy. Po tym, jak pociągi od marca pojadą do Milicza, część kursów będzie realizowana do tego miasta właśnie przez pociągi @KolejeD #KolejowaRewolucja #KolejeDolnośląskie pic.twitter.com/AeyIRDFvaF",https://twitter.com/MichalakJerzy/status/1052180853521027073,10,1,0,KolejeD,"#KolejowaRewolucja,#KolejeDolnośląskie"
2018-10-16,14:53:00,MichalakJerzy,Wzrost połączeń odnotujemy także na najszybciej rozwijającej się linii Wrocławskiej Kolei Aglomeracyjnej - do Jelcza #KolejowaRewolucja #KolejeDolnośląskie pic.twitter.com/S2xlSkoWIq,https://twitter.com/MichalakJerzy/status/1052180610847072256,8,1,0,,"#KolejowaRewolucja,#KolejeDolnośląskie"
2018-10-16,14:52:12,MichalakJerzy,"Na linii do Legnicy, która spełnia też rolę kolei miejskiej (m. in. na Muchobór czy Żerniki) po uruchomieniu połączeń do Lubina pojedzie aż 29 par pociągów każdego dnia. W szczycie z częstotliwością nawet mniejszą niż 30 minut #KolejowaRewolucja #KolejeDolnośląskie pic.twitter.com/xejKDWhpbM",https://twitter.com/MichalakJerzy/status/1052180406177550336,9,0,1,,"#KolejowaRewolucja,#KolejeDolnośląskie"
2018-10-16,14:50:45,MichalakJerzy,"W 2019 roku kolej wróci do Lubina, Milicza i Kamiennej Góry. Likwidujemy białe plamy na mapie województwa bez dostępu do kolei #KolejowaRewolucja #KolejeDolnośląskie pic.twitter.com/5dofnLt01c",https://twitter.com/MichalakJerzy/status/1052180041868693505,12,0,4,,"#KolejowaRewolucja,#KolejeDolnośląskie"
2018-10-16,14:49:49,MichalakJerzy,"Mamy gotowy projekt kolejnego rozkładu jazdy na rok 2019. Od 5 lat utrzymujemy ten sam trend - pociągi jeszcze częściej (szczególnie w obszarze aglomeracji wrocławskiej), wygodniej dla pasażerów, za podobne środki budżetowe #KolejowaRewolucja #KolejeDolnośląskie pic.twitter.com/umYpoHFdrj",https://twitter.com/MichalakJerzy/status/1052179809814683648,7,0,0,,"#KolejowaRewolucja,#KolejeDolnośląskie"
2018-10-15,20:14:47,MichalakJerzy,Jutro pokażemy założenia nowego rozkładu jazdy. Od marca do Milicza będzie można w komfortowych warunkach i w dobrym czasie dojechać z Wrocławia pociągiem @KolejeD. Tak właśnie likwidujemy wykluczenie komunikacyjne i tworzymy alternatywę dla samochodu na Dolnym Śląsku. 🚅 pic.twitter.com/dfloHhzXye,https://twitter.com/MichalakJerzy/status/1051899202064842752,14,4,3,KolejeD,
2018-10-15,16:13:22,MichalakJerzy,"Będziemy szukali finansowania w funduszach unijnych, Planie Junckera i formule partnerstwa publiczno-prywatnego. Nie dajmy sobie wmówić, że się nie da, że nie można! #Michalak2018 #BezpartyjnyRuchObywatelski #Listanr13 4/4",https://twitter.com/MichalakJerzy/status/1051838445683953664,10,3,0,,"#Michalak2018,#BezpartyjnyRuchObywatelski,#Listanr13"
2018-10-15,16:12:57,MichalakJerzy,"Zaprojektujemy linie na Stabłowice, Borowską i Księże #Michalak2018 #BezpartyjnyRuchObywatelski #Listanr13 3/4",https://twitter.com/MichalakJerzy/status/1051838342814453761,9,4,1,,"#Michalak2018,#BezpartyjnyRuchObywatelski,#Listanr13"
2018-10-15,16:12:08,MichalakJerzy,"To będzie nasz absolutny priorytet. Dokończymy rozpoczęte inwestycje na Nowy Dwór, Ołtaszyn i Popowice. W kolejnej, pięcioletniej kadencji zbudujemy nowe linie na Jagodno, Swojczyce i Maślice #Michalak2018 #BezpartyjnyRuchObywatelski #Listanr13 2/4",https://twitter.com/MichalakJerzy/status/1051838134252687360,13,6,1,,"#Michalak2018,#BezpartyjnyRuchObywatelski,#Listanr13"
2018-10-15,16:11:33,MichalakJerzy,"W tej kadencji we Wrocławiu nie powstała żadna nowa linia tramwajowa. Co więcej, ubyło 600 metrów linii! Nie da się walczyć z korkami bez odważnego Programu Tramwajowego #Michalak2018 #BezpartyjnyRuchObywatelski #Listanr13 1/4",https://twitter.com/MichalakJerzy/status/1051837989033271302,11,6,0,,"#Michalak2018,#BezpartyjnyRuchObywatelski,#Listanr13"
2018-10-15,09:54:26,MichalakJerzy,Zarząd województwa jednogłośnie za odwołaniem Cezarego Morawskiego. Zaczynamy procedurę która doprowadzi do wyboru nowego dyrektora i poprawy sytuacji w Teatrze Polskim.,https://twitter.com/MichalakJerzy/status/1051743084260847616,33,17,5,,
2018-10-13,19:46:58,MichalakJerzy,Tak jest! https://twitter.com/TomOwczarek71/status/1051131235270049793 …,https://twitter.com/MichalakJerzy/status/1051167425780166656,11,2,1,,
2018-10-13,13:46:28,MichalakJerzy,"Dzisiaj od rana aktywnie na Pchlim Targu przy Kasztanowej. Świetna, oddolna inicjatywa! #Wroclaw pic.twitter.com/MbMrO4TMp5",https://twitter.com/MichalakJerzy/status/1051076701948702722,2,0,1,,#Wroclaw
2018-10-12,22:04:26,MichalakJerzy,Dzień kończyliśmy na otwarciu kolejnego wyjątkowego Dolnośląskiego Festiwalu Podróżników w towarzystwie Krzysztofa Wielickiego #Wroclaw pic.twitter.com/r6QlRjyr7M,https://twitter.com/MichalakJerzy/status/1050839632856932352,7,0,1,,#Wroclaw
2018-10-11,16:00:11,MichalakJerzy,W tym tygodniu skończyliśmy jedną z większych inwestycji drogowych tej kadencji. 16 km gruntownie przebudowanej drogi między Bolesławcem i Lwówkiem Śląskim. pic.twitter.com/fTYRfdUpTI,https://twitter.com/MichalakJerzy/status/1050385579299483648,10,1,0,,
2018-10-11,14:00:50,MichalakJerzy,Będę dążył do szybkiego odwołania Cezarego Morawskiego z funkcji dyrektora Teatru Polskiego jeszcze w przyszłym tygodniu. Nikt nie może robić prywatnego folwarku z instytucji publicznych.,https://twitter.com/MichalakJerzy/status/1050355543062302721,34,5,12,,
2018-10-11,13:08:30,MichalakJerzy,"W pociągu relacji Jelenia Góra - Wrocław jechał dzisiaj, z upominkami od zarządu województwa i spółki, pasażer numer 40 000 000 @KolejeD :) pic.twitter.com/JDiFtSZdGu",https://twitter.com/MichalakJerzy/status/1050342371739795456,37,10,2,KolejeD,
2018-10-11,12:44:48,MichalakJerzy,➡️ zasada co najmniej dwóch spotkań z zainteresowaną Radą Osiedla podczas procedury planistycznej ➡️ każda osoba z BRW ma ściśle współpracujące ze sobą Rady Osiedla  ➡️ wdrożenie Standardów Urbanistycznych dla Wrocławia  #BezpartyjnyRuchObywatelski #Michalak2018 #Listanr13 3/3,https://twitter.com/MichalakJerzy/status/1050336409335271424,20,6,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018,#Listanr13"
2018-10-11,12:44:22,MichalakJerzy,"Nasze propozycje w tej sprawie to:➡️wzmocnienie Biura Rozwoju Wrocławia, które powinno stać się  jednostką niezależną od polityki, tak aby mogła doradzać radnym➡️kwartalna weryfikacja złożonych wniosków o zmianę w MPZP #Michalak2018 #BezpartyjnyRuchObywatelski #Listanr13 2/3",https://twitter.com/MichalakJerzy/status/1050336297875898369,16,4,0,,"#Michalak2018,#BezpartyjnyRuchObywatelski,#Listanr13"
2018-10-11,12:42:59,MichalakJerzy,"Procesy uchwalania planów zagospodarowania przestrzennego są w tej chwili niejasne, zagmatwane, ciężko wyznaczyć, w którym  momencie ma miejsce proces decyzyjny, nie są udostępniane protokoły z  kolegiów prezydenckich. Trzeba to zmienić i skończyć z #planowaniepowrocławsku 1/3",https://twitter.com/MichalakJerzy/status/1050335948892987392,20,5,0,,#planowaniepowrocławsku
2018-10-10,18:31:42,MichalakJerzy,"Agora jest najlepszą lokalizacją dla wszelkich osiedlowych aktywności, dlatego deklarujemy mieszkańcom Karłowic, że podejmiemy negocjacje z obecnym właścicielem działki nt. odtworzenia domu kultury w tej przestrzeni #BezpartyjnyRuchObywatelski #Michalak2018 #Wroclaw #Listanr13",https://twitter.com/MichalakJerzy/status/1050061321667006466,14,4,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018,#Wroclaw,#Listanr13"
2018-10-10,18:31:09,MichalakJerzy,➡️ w umowie nie zabezpieczono się przed ewentualnymi zaniedbaniami i nie zapewniono możliwości odkupienia nieruchomości przez Gminę #BezpartyjnyRuchObywatelski #Michalak2018 #Wroclaw #Listanr13,https://twitter.com/MichalakJerzy/status/1050061180251885571,12,3,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018,#Wroclaw,#Listanr13"
2018-10-10,18:30:15,MichalakJerzy,"➡️ nie stworzono planu zagospodarowania dla okolicy pl. Piłsudskiego➡️ w 2010 r. za 5 mln zł sprzedano jedyny obiekt w okolicy nadający się na dom kultury, do rejestru zabytków wpisano sam budynek (bez otoczenia - ogrodu) #BezpartyjnyRuchObywatelski #Michalak2018 #Listanr13",https://twitter.com/MichalakJerzy/status/1050060956821262336,12,4,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018,#Listanr13"
2018-10-10,18:29:07,MichalakJerzy,"Bardzo dużo mówi się we Wrocławiu o wspieraniu miejsc dla seniorów, budowaniu centrów aktywności lokalnej. O Karłowicach i zabytkowym Centrum Kultury Agora zupełnie w tym względzie zapomniano #BezpartyjnyRuchObywatelski #Michalak2018 #Wroclaw #Listanr13",https://twitter.com/MichalakJerzy/status/1050060668198707201,12,3,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018,#Wroclaw,#Listanr13"
2018-10-09,12:48:32,MichalakJerzy,"Zbudujemy je w kolejnej kadencji przy:➡️SP 44 na Wilanowskiej (Zakrzów)➡️LO VII na Kruczej (Gajowice),➡️ZSP 12 na Suwalskiej (Maślice)➡️SP 118 na Bulwarze Ikara (Gądów)➡️LO III na Składowej (Nadodrze)➡️ZSP na Głównej (Stabłowice)#Michalak2018 #BezpartyjnyRuchObywatelski",https://twitter.com/MichalakJerzy/status/1049612572884897792,19,5,1,,"#Michalak2018,#BezpartyjnyRuchObywatelski"
2018-10-09,12:47:29,MichalakJerzy,"Deklaruję jasno, że jeśli zostanę prezydentem Wrocławia, od razu ruszymy z przygotowaniem budowy małych przyszkolnych basenów - wzorem Dolnośląskich Delfinków #Michalak2018 #BezpartyjnyRuchObywatelski",https://twitter.com/MichalakJerzy/status/1049612307658096641,22,7,0,,"#Michalak2018,#BezpartyjnyRuchObywatelski"
2018-10-09,08:53:07,MichalakJerzy,Nie mogło być inaczej. 12 prac dla Wrocławia od @tumwro I @AkcjaMiasto to filary naszego programu dla miasta! pic.twitter.com/wwOi7FdJBD,https://twitter.com/MichalakJerzy/status/1049553325706883072,25,8,0,"tumwro,AkcjaMiasto",
2018-10-08,15:53:45,MichalakJerzy,"@KacTRud @cichdom Tak wyglądają wspólne dla całego piętra łazienka, kuchnia i toaleta.",https://twitter.com/MichalakJerzy/status/1049296792947503104,0,0,1,"cichdom,KacTRud",
2018-10-08,10:14:55,MichalakJerzy,"Piąty Dolnośląski Delfinek w Tarnogórze otwarty. Promujemy i sport, i zdrowie wśród najmłodszych 🏊‍♂️ pic.twitter.com/nBS8u4cwCy",https://twitter.com/MichalakJerzy/status/1049211525981003778,10,0,0,,
2018-10-08,08:59:04,MichalakJerzy,"Podczas spotkań z mieszkańcami przy Hallera jedna z Pań pokazała mi, jak żyją ludzie w niektórych mieszkaniach komunalnych. W mieście Europejskiej Stolicy Kultury. Pozostawiam bez komentarza. Nasze propozycje ws polityki mieszkaniowej dzisiaj o godz. 11.00 przy Sukiennicach. pic.twitter.com/k8PEOQYIL9",https://twitter.com/MichalakJerzy/status/1049192437753765888,23,9,2,,
2018-10-05,11:29:38,MichalakJerzy,"W naszym programie proponujemy:➡️ przejrzystą ścieżkę awansu w Urzędzie Miejskim➡️ godne wynagrodzenie i premie - nie tylko tuż przed wyborami➡️ szkoły i urzędy skupione na pracy i mieszkańcach, a nie kampanii wyborczej #BezpartyjnyRuchObywatelski #Michalak2018 #Listanr13 3/3 pic.twitter.com/k5ToO2O36t",https://twitter.com/MichalakJerzy/status/1048143162873663488,18,6,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018,#Listanr13"
2018-10-05,11:28:45,MichalakJerzy,"Nikt, żaden kandydat, nie powinien przed wyborami mówić o ""czystkach"" czy blokowaniu kogokolwiek. Mądra aktywność i pracowitość muszą być wynagradzane #BezpartyjnyRuchObywatelski #Michalak2018 #Listanr13#Wroclaw 2/3 pic.twitter.com/9RWMSknwlO",https://twitter.com/MichalakJerzy/status/1048142941099835393,18,4,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018,#Listanr13,#Wroclaw"
2018-10-05,11:27:40,MichalakJerzy,"Dzisiaj skierowaliśmy swój apel do pracowników Urzędu Miasta, miejskich spółek, jednostek, pracowników szkół, nauczycieli. Ogromna większość z Was to ludzie, którzy swoją pracę wykonuje bardzo dobrze i sumiennie #BezpartyjnyRuchObywatelski #Michalak2018 #Listanr13#Wroclaw 1/3 pic.twitter.com/zQGIStlMuN",https://twitter.com/MichalakJerzy/status/1048142670252728320,14,4,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018,#Listanr13,#Wroclaw"
2018-10-04,18:28:20,MichalakJerzy,"W końcu mamy przetarg na rewitalizację linii kolejowej do Sobótki! Pociągi wrócą tam po 18 latach. Tworzymy atrakcyjną i ekologiczną alternatywę dla ruchu samochodowego, likwidujemy wykluczenie komunikacyjne, walczymy z korkami na południu Wrocławia 🚅#Wroclaw #KolejowaRewolucja pic.twitter.com/YMF3KKrzXV",https://twitter.com/MichalakJerzy/status/1047886144053157889,33,8,4,,"#Wroclaw,#KolejowaRewolucja"
2018-10-04,15:21:24,MichalakJerzy,Zwróciliśmy się dzisiaj do Sądu Okręgowego z wnioskiem o wydanie orzeczenia w trybie wyborczym. Naszym zdaniem Rafał Dutkiewicz łamie prawo i wprowadza wrocławian w błąd. Lepiej przekonywać programem i ciężką pracą.,https://twitter.com/MichalakJerzy/status/1047839103805476864,16,7,3,,
2018-10-04,13:33:13,MichalakJerzy,"Dzisiaj Światowy Dzień Zwierząt. W Parku Słowackiego mówiliśmy o tym, co we Wrocławiu trzeba dla nich zrobić. Nie był to łatwy briefing, nasz Zefir chyba nie przepada z takimi spotkaniami :) #BezpartyjnyRuchObywatelski #Wroclaw #Listanr13 pic.twitter.com/ykOCirrGAB",https://twitter.com/MichalakJerzy/status/1047811878775414784,15,5,2,,"#BezpartyjnyRuchObywatelski,#Wroclaw,#Listanr13"
2018-10-04,10:26:48,MichalakJerzy,"Zmienimy priorytety w mieście. Przeznaczymy większe środki na MPK, wymianę starych pieców i utrzymanie zieleni. Oddłużymy miasto. Oddamy Wrocław ludziom #BezpartyjnyRuchObywatelski #Wroclaw #Michalak2018 pic.twitter.com/sz48Z5gVxs",https://twitter.com/MichalakJerzy/status/1047764964394590208,18,5,0,,"#BezpartyjnyRuchObywatelski,#Wroclaw,#Michalak2018"
2018-10-04,10:26:03,MichalakJerzy,"My nic nie musimy. Kandydujemy w tych wyborach bo chcemy zmienić Wrocław. Utrzymać to, co w naszym mieście dobre i poprawić, to co działa bardzo źle #BezpartyjnyRuchObywatelski #Michalak2018 pic.twitter.com/MyBISYijSG",https://twitter.com/MichalakJerzy/status/1047764774979817473,16,4,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018"
2018-10-04,10:25:16,MichalakJerzy,"51% wrocławian nie wie, że ma większość. Chcemy, żeby poszli na wybory i mieli dobrą alternatywę  #BezpartyjnyRuchObywatelski #Michalak2018 pic.twitter.com/dYQMux4zhn",https://twitter.com/MichalakJerzy/status/1047764578409562113,24,6,1,,"#BezpartyjnyRuchObywatelski,#Michalak2018"
2018-10-03,20:08:38,MichalakJerzy,"@dutkiewiczrafal @SzymonSikorski @wyspa_slodowa7 Jestem zawiedziony projektem, który ujrzał wczoraj światło dzienne. Mam nadzieję, że nie jest jeszcze za późno na zmiany i jednocześnie Wyspa Slodowa będzie mogła zachować swój charakter #TweetupJM",https://twitter.com/MichalakJerzy/status/1047548996884058112,5,0,1,"wyspa_slodowa7,SzymonSikorski,dutkiewiczrafal",#TweetupJM
2018-10-03,20:06:17,MichalakJerzy,@tokarz_mariusz Albo nowy korytarz albo trudne próby negocjacji z właścicielem. Innej drogi nie ma #TweetupJM,https://twitter.com/MichalakJerzy/status/1047548409220141057,3,0,0,tokarz_mariusz,#TweetupJM
2018-10-03,20:04:42,MichalakJerzy,"@p_czerniawski Jako sejmik województwa przekazaliśmy na działalność fundacji 600 tys zł. Nie wydaje mi się, żeby ktokolwiek prowadził za te środki kampanię wyborczą. Trzeba te pytania kierować do zarządu fundacji, który jest autonomiczny #TweetupJM",https://twitter.com/MichalakJerzy/status/1047548007653228544,2,0,0,p_czerniawski,#TweetupJM
2018-10-02,13:54:29,MichalakJerzy,Po jutrzejszej konwencji zapraszamy na #TweetupJM razem z @Przemek_Filar @TomOwczarek71 @Agnieszka_Kubit @MJTomczak @MurzynskiMarcin @SzymonSikorski. Zawsze byliśmy i będziemy otwarci na wolną dyskusję. Taki właśnie jest Wrocław #Michalak2018 #BezpartyjnyRuchObywatelski pic.twitter.com/jBkSECYpoF,https://twitter.com/MichalakJerzy/status/1047092454258872320,16,8,2,"Przemek_Filar,TomOwczarek71,Agnieszka_Kubit,MJTomczak,MurzynskiMarcin,SzymonSikorski","#TweetupJM,#Michalak2018,#BezpartyjnyRuchObywatelski"
2018-10-02,13:20:43,MichalakJerzy,"➡️ Wsparcie dla studentów i doktorantów, którzy płacą podatki we Wrocławiu➡️ Wsparcie przy modernizacji Domów Studenckich#BezpartyjnyRuchObywatelski #Michalak2018 3/3 pic.twitter.com/PuxJTx47Ti",https://twitter.com/MichalakJerzy/status/1047083954434715650,17,6,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018"
2018-10-02,13:20:09,MichalakJerzy,➡️ Powołanie rzecznika praw studenta przy Biurze Współpracy z Uczelniami Wyższymi➡️ Wpisanie Juwenaliów do kalendarza miejskich imprez oraz wsparcie finansowe ich organizacji#BezpartyjnyRuchObywatelski #Michalak2018 2/3 pic.twitter.com/kn6jihHnYx,https://twitter.com/MichalakJerzy/status/1047083813124431877,16,5,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018"
2018-10-02,13:19:20,MichalakJerzy,W naszym programie dla wrocławskich uczelni proponujemy:➡️ Przekazanie 5 mln zł. rocznie na wsparcie Kolegium Rektorów Uczelni Wrocławia➡️ Zwolnienie z części opłat związanych z podatkiem od nieruchomości #BezpartyjnyRuchObywatelski #Michalak2018 1/3 pic.twitter.com/LRG9cz015u,https://twitter.com/MichalakJerzy/status/1047083605774733312,18,7,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018"
2018-10-02,08:25:20,MichalakJerzy,"Krzyki od rana chłodne i deszczowe, ale nasza kawa jak zwykle świetna :) #BezpartyjnyRuchObywatelski #Michalak2018 #Wroclaw pic.twitter.com/pSIXmR35n3",https://twitter.com/MichalakJerzy/status/1047009621507002369,24,1,1,,"#BezpartyjnyRuchObywatelski,#Michalak2018,#Wroclaw"
2018-10-01,13:07:58,MichalakJerzy,"Rozwiązanie problemu skrzyżowań torów z ulicami i liniami  tramwajowymi – Główna, Strzegomska – Rondo Pileckiego (tramwaj na  Muchobór), PoprzecznaWłączenie kolejowej obwodnicy towarowej do systemu transportu miejskiego #BezpartyjnyRuchObywatelski #Michalak2018 /4/4",https://twitter.com/MichalakJerzy/status/1046718358484393984,20,8,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018"
2018-10-01,13:07:09,MichalakJerzy,Reaktywacja Świebodzkiego i przygotowanie koncepcji budowy tunelu kolejowego pod centrumFinansowanie dodatkowych kursów przez Gminę i wspólna taryfa biletowa dla aglomeracjiPoprawa dostępności przystanków kolejowych#BezpartyjnyRuchObywatelski #Michalak2018 3/4,https://twitter.com/MichalakJerzy/status/1046718153378680832,27,9,2,,"#BezpartyjnyRuchObywatelski,#Michalak2018"
2018-10-01,13:04:50,MichalakJerzy,"Nowe przystanki kolejowe – Stabłowice/Maślice (Główna), Karłowice  (Czajkowskiego), Os. Sobieskiego (Wilanowska), Lipa Piotrowska  (Kminkowa), Ołbin (Rychtalska), Złotniki; obwodnica towarowa (np.  Borowska, Krzyki, Racławicka)  #BezpartyjnyRuchObywatelski #Michalak2018 2/4 pic.twitter.com/DRrBBbjhkj",https://twitter.com/MichalakJerzy/status/1046717569015697408,24,9,2,,"#BezpartyjnyRuchObywatelski,#Michalak2018"
2018-10-01,13:03:57,MichalakJerzy,"Nasz program dla rozwoju kolei we Wrocławiu jest odważny, konkretny i  oparty na doświadczeniu. Chcemy kontynuować to, co robiliśmy przez  ostatnie lata. Wrocław musi postawić na kolej #BezpartyjnyRuchObywatelski #Michalak2018 1/4 pic.twitter.com/d1zDdG5vwc",https://twitter.com/MichalakJerzy/status/1046717346709209088,22,9,0,,"#BezpartyjnyRuchObywatelski,#Michalak2018"
2018-10-01,10:48:30,MichalakJerzy,"@Dominik02492381 Pani Dominiko, już dawno odpowiedziałem się za takim rozwiązaniem.",https://twitter.com/MichalakJerzy/status/1046683262213660672,1,0,0,Dominik02492381,
2018-10-01,10:46:50,MichalakJerzy,@tfurca @Dominik02492381 Już dawno Pani Dominiko. Jestem za sprzedażą kontrolnego pakietu akcji klubu inwestorowi zewnętrznemu.,https://twitter.com/MichalakJerzy/status/1046682843504676864,3,0,1,"Dominik02492381,tfurca",
2018-09-29,19:46:45,MichalakJerzy,"@pawe_wiklinski Dziękuję. Błąd wynikał pewnie z sentymentu dla Ołbina, na którym kiedyś mieszkałem. ☺",https://twitter.com/MichalakJerzy/status/1046093938715742208,0,0,0,pawe_wiklinski,
2018-09-29,19:12:27,MichalakJerzy,Nadodrze na koniec dnia i freestyle przeciwko dopalaczom. pic.twitter.com/0dBPQEIjbL,https://twitter.com/MichalakJerzy/status/1046085310067683328,18,2,1,,
2018-09-28,16:35:37,MichalakJerzy,Po wygranym procesie ściągnęliśmy krawaty i pojechaliśmy prosto na spotkanie z mieszkańcami Kowal i Swojczyc. Kowalska nie może być dalej rozjezdżana przez tiry #BezpartyjnyRuchObywatelski #Michalak2018 pic.twitter.com/iT8CCkP9IW,https://twitter.com/MichalakJerzy/status/1045683450139807744,38,11,3,,"#BezpartyjnyRuchObywatelski,#Michalak2018"
